"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"39402_at"	"0.022543"	"1.01e-04"	"-4.82762"	"1.44317"	"-1.4452877"	"IL1B"	"interleukin 1 beta"
"36088_at"	"0.022543"	"1.02e-04"	"-4.8199064"	"1.42672"	"-0.4530604"	"PSMG1"	"proteasome assembly chaperone 1"
"34777_at"	"0.022543"	"1.04e-04"	"-4.8142841"	"1.41472"	"-1.2824239"	"ADM"	"adrenomedullin"
"36674_at"	"0.022543"	"1.05e-04"	"-4.8074997"	"1.40025"	"-1.5871661"	"CCL4"	"C-C motif chemokine ligand 4"
"33272_at"	"0.02331"	"1.11e-04"	"-4.785849"	"1.35403"	"-1.6910658"	"SAA1"	"serum amyloid A1"
"37032_at"	"0.024147"	"1.18e-04"	"-4.7593034"	"1.29732"	"-0.7370008"	"LOC101928916///NNMT"	"uncharacterized LOC101928916///nicotinamide N-methyltransferase"
"36615_at"	"0.024147"	"1.19e-04"	"-4.7550278"	"1.28818"	"-0.597098"	"MANF"	"mesencephalic astrocyte derived neurotrophic factor"
"40415_at"	"0.024147"	"1.26e-04"	"4.7317665"	"1.23844"	"0.5990174"	"ACAA1"	"acetyl-CoA acyltransferase 1"
"36123_at"	"0.024147"	"1.30e-04"	"4.7185072"	"1.21007"	"0.6246695"	"TST"	"thiosulfate sulfurtransferase"
"38098_at"	"0.024147"	"1.31e-04"	"-4.7147267"	"1.20198"	"-0.9054835"	"LPIN1"	"lipin 1"
"32186_at"	"0.024147"	"1.33e-04"	"-4.708464"	"1.18857"	"-0.5022617"	"SLC7A5"	"solute carrier family 7 member 5"
"37955_at"	"0.024147"	"1.33e-04"	"-4.7074365"	"1.18637"	"-0.4207361"	"CNPY2"	"canopy FGF signaling regulator 2"
"930_at"	"0.024147"	"1.33e-04"	"4.7072485"	"1.18597"	"0.3636192"	"PPP2R3A"	"protein phosphatase 2 regulatory subunit B''alpha"
"32260_at"	"0.024147"	"1.34e-04"	"-4.7052198"	"1.18162"	"-0.4477738"	"PEA15"	"phosphoprotein enriched in astrocytes 15"
"32105_f_at"	"0.024147"	"1.34e-04"	"4.7043706"	"1.17981"	"0.4252389"	"CAMK2G"	"calcium/calmodulin dependent protein kinase II gamma"
"39333_at"	"0.024472"	"1.38e-04"	"-4.6925324"	"1.15446"	"-1.0748463"	"COL4A1"	"collagen type IV alpha 1 chain"
"41096_at"	"0.025091"	"1.44e-04"	"-4.6730422"	"1.1127"	"-2.4957852"	"S100A8"	"S100 calcium binding protein A8"
"35372_r_at"	"0.025091"	"1.45e-04"	"-4.6698726"	"1.10591"	"-2.9784142"	"CXCL8"	"C-X-C motif chemokine ligand 8"
"36711_at"	"0.02545"	"1.49e-04"	"-4.6574377"	"1.07925"	"-1.4458462"	"MAFF"	"MAF bZIP transcription factor F"
"41447_at"	"0.02545"	"1.51e-04"	"-4.6521783"	"1.06798"	"-0.5862042"	"CHSY1"	"chondroitin sulfate synthase 1"
"40459_at"	"0.027319"	"1.65e-04"	"4.6157284"	"0.98978"	"0.8015393"	"ACOX1"	"acyl-CoA oxidase 1"
"37493_at"	"0.027319"	"1.67e-04"	"-4.6104906"	"0.97854"	"-1.4426704"	"CSF2RB"	"colony stimulating factor 2 receptor beta common subunit"
"41354_at"	"0.027335"	"1.69e-04"	"-4.6047113"	"0.96613"	"-0.5923835"	"STC1"	"stanniocalcin 1"
"1693_s_at"	"0.028333"	"1.77e-04"	"-4.583879"	"0.92139"	"-0.8797067"	"TIMP1"	"TIMP metallopeptidase inhibitor 1"
"33849_at"	"0.028637"	"1.81e-04"	"-4.5739216"	"0.9"	"-1.4693942"	"NAMPT"	"nicotinamide phosphoribosyltransferase"
"35204_at"	"0.028747"	"1.86e-04"	"4.5628191"	"0.87614"	"0.3291293"	"SEMA5A"	"semaphorin 5A"
"37068_at"	"0.028747"	"1.87e-04"	"-4.5602303"	"0.87058"	"-1.3925002"	"PLA2G7"	"phospholipase A2 group VII"
"851_s_at"	"0.028747"	"1.89e-04"	"-4.5564999"	"0.86256"	"-1.0847358"	"IRS1"	"insulin receptor substrate 1"
"38631_at"	"0.029731"	"2.00e-04"	"-4.5332009"	"0.81247"	"-0.929274"	"TNFAIP2"	"TNF alpha induced protein 2"
"32616_at"	"0.029731"	"2.00e-04"	"-4.5318962"	"0.80967"	"-0.6456111"	"LYN"	"LYN proto-oncogene, Src family tyrosine kinase"
"39542_at"	"0.029982"	"2.06e-04"	"-4.5192415"	"0.78245"	"-0.3244214"	"ENC1"	"ectodermal-neural cortex 1"
"34951_at"	"0.029982"	"2.07e-04"	"-4.5183365"	"0.7805"	"-2.1292189"	"HCAR3"	"hydroxycarboxylic acid receptor 3"
"36057_at"	"0.030108"	"2.10e-04"	"-4.5105144"	"0.76367"	"-0.5076027"	"ARMCX2"	"armadillo repeat containing, X-linked 2"
"39176_f_at"	"0.030108"	"2.12e-04"	"4.5068242"	"0.75573"	"0.4147755"	"CEL"	"carboxyl ester lipase"
"38099_r_at"	"0.030384"	"2.17e-04"	"-4.4981382"	"0.73704"	"-1.6448898"	"ACSL4"	"acyl-CoA synthetase long-chain family member 4"
"2045_s_at"	"0.030913"	"2.25e-04"	"-4.4826038"	"0.7036"	"-0.6364075"	"HCK"	"HCK proto-oncogene, Src family tyrosine kinase"
"664_at"	"0.030913"	"2.26e-04"	"-4.4794565"	"0.69683"	"-1.6465967"	"CXCR2"	"C-X-C motif chemokine receptor 2"
"1402_at"	"0.030913"	"2.28e-04"	"-4.4767267"	"0.69095"	"-0.7343374"	"LYN"	"LYN proto-oncogene, Src family tyrosine kinase"
"32529_at"	"0.030928"	"2.30e-04"	"-4.4719469"	"0.68066"	"-0.5744646"	"CKAP4"	"cytoskeleton associated protein 4"
"33402_at"	"0.031017"	"2.37e-04"	"-4.4588359"	"0.65243"	"-0.8353424"	"KDELR3"	"KDEL endoplasmic reticulum protein retention receptor 3"
"35583_at"	"0.031017"	"2.38e-04"	"4.4574811"	"0.64951"	"0.4492929"	"XAF1"	"XIAP associated factor 1"
"36879_at"	"0.031017"	"2.42e-04"	"-4.4500025"	"0.6334"	"-0.9074236"	"TYMP"	"thymidine phosphorylase"
"36090_at"	"0.031017"	"2.45e-04"	"-4.4460744"	"0.62494"	"-0.4367469"	"TBL2"	"transducin (beta)-like 2"
"1369_s_at"	"0.031017"	"2.46e-04"	"-4.4433142"	"0.61899"	"-1.5455154"	"CXCL8"	"C-X-C motif chemokine ligand 8"
"37944_at"	"0.031017"	"2.48e-04"	"-4.440832"	"0.61365"	"-0.795902"	"GCH1"	"GTP cyclohydrolase 1"
"35824_at"	"0.031017"	"2.48e-04"	"-4.4400129"	"0.61188"	"-0.6825414"	"ZBTB18"	"zinc finger and BTB domain containing 18"
"35134_at"	"0.031521"	"2.55e-04"	"-4.4283447"	"0.58674"	"-0.9092611"	"ART3"	"ADP-ribosyltransferase 3"
"36972_at"	"0.031521"	"2.58e-04"	"-4.4230005"	"0.57523"	"-0.3628398"	"TMED2"	"transmembrane p24 trafficking protein 2"
"1372_at"	"0.031521"	"2.60e-04"	"-4.4206129"	"0.57008"	"-1.9339445"	"TNFAIP6"	"TNF alpha induced protein 6"
"437_at"	"0.032499"	"2.70e-04"	"-4.4034771"	"0.53315"	"-0.7638164"	"MMP3"	"matrix metallopeptidase 3"
"39695_at"	"0.034886"	"2.93e-04"	"-4.3691476"	"0.45913"	"-1.817186"	"CD55"	"CD55 molecule (Cromer blood group)"
"32392_s_at"	"0.035666"	"3.02e-04"	"4.3556978"	"0.43012"	"1.5160473"	"UGT1A3///UGT1A1///UGT1A4///UGT1A9///UGT1A5///UGT1A6///UGT1A7///UGT1A8///UGT1A10"	"UDP glucuronosyltransferase family 1 member A3///UDP glucuronosyltransferase family 1 member A1///UDP glucuronosyltransferase family 1 member A4///UDP glucuronosyltransferase family 1 member A9///UDP glucuronosyltransferase family 1 member A5///UDP glucuronosyltransferase family 1 member A6///UDP glucuronosyltransferase family 1 member A7///UDP glucuronosyltransferase family 1 member A8///UDP glucuronosyltransferase family 1 member A10"
"34375_at"	"0.036216"	"3.10e-04"	"-4.3452016"	"0.40748"	"-0.8177037"	"CCL2"	"C-C motif chemokine ligand 2"
"38974_at"	"0.036904"	"3.21e-04"	"-4.3306364"	"0.37606"	"-0.4159518"	"PARK7"	"Parkinsonism associated deglycase"
"34684_at"	"0.036904"	"3.22e-04"	"-4.32864"	"0.37175"	"-0.7492106"	"RECQL"	"RecQ like helicase"
"32640_at"	"0.036904"	"3.24e-04"	"-4.3254643"	"0.3649"	"-0.659688"	"ICAM1"	"intercellular adhesion molecule 1"
"596_s_at"	"0.038448"	"3.41e-04"	"-4.304148"	"0.3189"	"-0.8262871"	"CSF3R"	"colony stimulating factor 3 receptor"
"41471_at"	"0.038475"	"3.44e-04"	"-4.3000594"	"0.31008"	"-2.02895"	"S100A9"	"S100 calcium binding protein A9"
"38326_at"	"0.038883"	"3.53e-04"	"-4.2894719"	"0.28722"	"-2.6863787"	"G0S2"	"G0/G1 switch 2"
"41049_at"	"0.038883"	"3.54e-04"	"-4.2880698"	"0.2842"	"-1.1177777"	"IRS1"	"insulin receptor substrate 1"
"38642_at"	"0.039598"	"3.65e-04"	"-4.2750689"	"0.25614"	"-0.6989882"	"ALCAM"	"activated leukocyte cell adhesion molecule"
"36676_at"	"0.039598"	"3.70e-04"	"-4.2699264"	"0.24504"	"-0.458024"	"RPN2"	"ribophorin II"
"38535_at"	"0.039598"	"3.72e-04"	"4.2676532"	"0.24013"	"0.5752014"	"DLX4"	"distal-less homeobox 4"
"32193_at"	"0.039598"	"3.74e-04"	"-4.2647975"	"0.23396"	"-1.0422519"	"PLXNC1"	"plexin C1"
"41871_at"	"0.039598"	"3.76e-04"	"-4.2621441"	"0.22824"	"-0.6006021"	"PDPN"	"podoplanin"
"40964_at"	"0.039704"	"3.81e-04"	"-4.2566002"	"0.21627"	"-0.5181895"	"HK2"	"hexokinase 2"
"32024_at"	"0.039704"	"3.84e-04"	"4.2535242"	"0.20963"	"0.6812596"	"KHDRBS2"	"KH RNA binding domain containing, signal transduction associated 2"
"595_at"	"0.039704"	"3.90e-04"	"-4.2471913"	"0.19595"	"-0.9044413"	"TNFAIP3"	"TNF alpha induced protein 3"
"32855_at"	"0.039704"	"3.90e-04"	"-4.2470203"	"0.19558"	"-1.0075151"	"LDLR"	"low density lipoprotein receptor"
"674_g_at"	"0.039836"	"3.95e-04"	"-4.2411639"	"0.18294"	"-0.4907145"	"MTHFD1"	"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1"
"32859_at"	"0.039836"	"3.98e-04"	"-4.2387802"	"0.17779"	"-1.2764625"	"STAT1"	"signal transducer and activator of transcription 1"
"36982_at"	"0.040404"	"4.07e-04"	"-4.2289239"	"0.15651"	"-0.5162817"	"USP14"	"ubiquitin specific peptidase 14"
"37168_at"	"0.040404"	"4.11e-04"	"-4.2250723"	"0.1482"	"-0.8481523"	"LAMP3"	"lysosomal associated membrane protein 3"
"33435_r_at"	"0.040404"	"4.14e-04"	"-4.2218199"	"0.14117"	"-1.0588936"	"BET1"	"Bet1 golgi vesicular membrane trafficking protein"
"1295_at"	"0.040404"	"4.16e-04"	"-4.2194061"	"0.13596"	"-0.4608188"	"RELA"	"RELA proto-oncogene, NF-kB subunit"
"40337_at"	"0.041137"	"4.27e-04"	"4.2079328"	"0.11119"	"0.27413"	"FUT1"	"fucosyltransferase 1 (H blood group)"
"35919_at"	"0.041137"	"4.33e-04"	"-4.2023258"	"0.09908"	"-0.8012845"	"TCN1"	"transcobalamin 1"
"38684_at"	"0.041137"	"4.35e-04"	"-4.2000855"	"0.09424"	"-0.5053089"	"ATP2C1"	"ATPase secretory pathway Ca2+ transporting 1"
"38650_at"	"0.041137"	"4.37e-04"	"-4.1988241"	"0.09152"	"-1.2821429"	"IGFBP5"	"insulin like growth factor binding protein 5"
"35805_at"	"0.041154"	"4.45e-04"	"-4.1905283"	"0.07361"	"-0.4502945"	"GORASP2"	"golgi reassembly stacking protein 2"
"2002_s_at"	"0.041154"	"4.46e-04"	"-4.1894814"	"0.07135"	"-1.8320657"	"BCL2A1"	"BCL2 related protein A1"
"38238_at"	"0.041154"	"4.47e-04"	"4.189203"	"0.07074"	"0.4193343"	"SLC2A2"	"solute carrier family 2 member 2"
"32104_i_at"	"0.042342"	"4.63e-04"	"4.1739718"	"0.03785"	"0.2955023"	"CAMK2G"	"calcium/calmodulin dependent protein kinase II gamma"
"41191_at"	"0.042459"	"4.69e-04"	"-4.1680729"	"0.02512"	"-0.7159787"	"PALLD"	"palladin, cytoskeletal associated protein"
"33422_at"	"0.042459"	"4.71e-04"	"-4.1666535"	"0.02205"	"-0.4636171"	"SEC13"	"SEC13 homolog, nuclear pore and COPII coat complex component"
"36103_at"	"0.042914"	"4.87e-04"	"-4.1525808"	"-0.00834"	"-1.1603014"	"CCL3"	"C-C motif chemokine ligand 3"
"35822_at"	"0.042914"	"4.91e-04"	"-4.1490828"	"-0.01589"	"-0.7400796"	"CFB"	"complement factor B"
"41163_at"	"0.042914"	"4.94e-04"	"-4.1464247"	"-0.02163"	"-0.4820744"	"TMED3"	"transmembrane p24 trafficking protein 3"
"36689_at"	"0.042914"	"4.94e-04"	"4.1462647"	"-0.02198"	"0.5457069"	"OSBPL1A"	"oxysterol binding protein like 1A"
"37688_f_at"	"0.042914"	"4.96e-04"	"-4.1444611"	"-0.02587"	"-2.0456021"	"FCGR2A"	"Fc fragment of IgG receptor IIa"
"1948_f_at"	"0.042914"	"4.96e-04"	"-4.1442238"	"-0.02638"	"-2.428962"	"NOS2"	"nitric oxide synthase 2"
"36417_s_at"	"0.045023"	"5.27e-04"	"4.1182576"	"-0.08246"	"0.5115507"	"ACAA1"	"acetyl-CoA acyltransferase 1"
"1052_s_at"	"0.045023"	"5.28e-04"	"-4.1179657"	"-0.08309"	"-0.7346779"	"CEBPD"	"CCAAT/enhancer binding protein delta"
"40649_at"	"0.045148"	"5.33e-04"	"-4.113916"	"-0.09183"	"-1.0425714"	"PCSK1"	"proprotein convertase subtilisin/kexin type 1"
"40012_at"	"0.046267"	"5.50e-04"	"-4.100625"	"-0.12053"	"-0.82257"	"LRP8"	"LDL receptor related protein 8"
"40555_at"	"0.04641"	"5.55e-04"	"-4.0964827"	"-0.12947"	"-0.4109707"	"RHOQ"	"ras homolog family member Q"
"41768_at"	"0.047503"	"5.72e-04"	"-4.0837395"	"-0.15698"	"-0.5569486"	"PRKAR1A"	"protein kinase cAMP-dependent type I regulatory subunit alpha"
"32083_at"	"0.047712"	"5.78e-04"	"-4.0790403"	"-0.16713"	"-0.3409218"	"GPR137B"	"G protein-coupled receptor 137B"
"41176_at"	"0.047712"	"5.82e-04"	"-4.0762933"	"-0.17306"	"-0.6802435"	"LPCAT1"	"lysophosphatidylcholine acyltransferase 1"
"33956_at"	"0.04788"	"5.91e-04"	"-4.0699634"	"-0.18673"	"-1.1685058"	"LY96"	"lymphocyte antigen 96"
"38708_at"	"0.04788"	"5.95e-04"	"-4.0666228"	"-0.19394"	"-0.6309086"	"RAN"	"RAN, member RAS oncogene family"
"35643_at"	"0.04788"	"5.97e-04"	"-4.0651682"	"-0.19708"	"-1.0313332"	"NUCB2"	"nucleobindin 2"
"41710_at"	"0.04788"	"5.99e-04"	"-4.0638624"	"-0.1999"	"-0.5451649"	"GSAP"	"gamma-secretase activating protein"
"35153_at"	"0.048184"	"6.07e-04"	"-4.0584766"	"-0.21152"	"-0.9031273"	"NBN"	"nibrin"
"38466_at"	"0.04933"	"6.25e-04"	"-4.045787"	"-0.23891"	"-0.9523801"	"CTSK"	"cathepsin K"
"33494_at"	"0.050366"	"6.42e-04"	"4.0342655"	"-0.26378"	"0.4905083"	"ETFDH"	"electron transfer flavoprotein dehydrogenase"
"31610_at"	"0.050422"	"6.47e-04"	"-4.0311549"	"-0.27049"	"-1.3848921"	"PDZK1IP1"	"PDZK1 interacting protein 1"
"38986_at"	"0.051061"	"6.59e-04"	"-4.0231559"	"-0.28776"	"-0.6580414"	"PDIA3"	"protein disulfide isomerase family A member 3"
"36247_f_at"	"0.051124"	"6.68e-04"	"4.0177332"	"-0.29946"	"1.1148821"	"ADH1C"	"alcohol dehydrogenase 1C (class I), gamma polypeptide"
"32066_g_at"	"0.051124"	"6.68e-04"	"-4.0174297"	"-0.30011"	"-0.478116"	"CREM"	"cAMP responsive element modulator"
"32376_at"	"0.05144"	"6.76e-04"	"4.0122253"	"-0.31134"	"0.4223762"	"SLC25A20"	"solute carrier family 25 member 20"
"40762_g_at"	"0.053827"	"7.12e-04"	"3.9903207"	"-0.3586"	"0.4267401"	"SLC16A5"	"solute carrier family 16 member 5"
"38727_at"	"0.054383"	"7.24e-04"	"-3.9833916"	"-0.37355"	"-0.8566713"	"MCFD2"	"multiple coagulation factor deficiency 2"
"38586_at"	"0.054603"	"7.31e-04"	"3.9791378"	"-0.38272"	"0.5445833"	"FABP1"	"fatty acid binding protein 1"
"35061_at"	"0.055158"	"7.43e-04"	"-3.9723128"	"-0.39744"	"-2.8817899"	"CXCL11"	"C-X-C motif chemokine ligand 11"
"863_g_at"	"0.05609"	"7.60e-04"	"-3.9626601"	"-0.41826"	"-1.7822561"	"SERPINB5"	"serpin family B member 5"
"36470_s_at"	"0.056584"	"7.74e-04"	"3.9548616"	"-0.43508"	"0.290842"	"DTNA"	"dystrobrevin alpha"
"39764_at"	"0.056584"	"7.75e-04"	"-3.9539594"	"-0.43702"	"-0.4664049"	"ACVR1"	"activin A receptor type 1"
"328_at"	"0.056863"	"7.84e-04"	"3.9494053"	"-0.44684"	"0.3313535"	"ZNF92"	"zinc finger protein 92"
"40310_at"	"0.057467"	"7.97e-04"	"-3.9424509"	"-0.46183"	"-1.1150621"	"TLR2"	"toll like receptor 2"
"1039_s_at"	"0.057519"	"8.06e-04"	"-3.9373608"	"-0.47281"	"-0.9338765"	"HIF1A"	"hypoxia inducible factor 1 alpha subunit"
"41745_at"	"0.057519"	"8.06e-04"	"-3.9372214"	"-0.47311"	"-0.9027908"	"IFITM3"	"interferon induced transmembrane protein 3"
"1456_s_at"	"0.058352"	"8.23e-04"	"-3.9286799"	"-0.49152"	"-1.1180579"	"IFI16"	"interferon gamma inducible protein 16"
"36393_at"	"0.060074"	"8.59e-04"	"3.9104702"	"-0.53076"	"0.4866162"	"DPF1"	"double PHD fingers 1"
"31997_at"	"0.060074"	"8.60e-04"	"3.909572"	"-0.5327"	"0.3456058"	""	""
"40460_s_at"	"0.060074"	"8.61e-04"	"3.9091418"	"-0.53362"	"0.4575504"	"ACOX1"	"acyl-CoA oxidase 1"
"878_s_at"	"0.060891"	"8.78e-04"	"3.9010195"	"-0.55112"	"0.3997981"	"PRL"	"prolactin"
"36952_at"	"0.062459"	"9.11e-04"	"3.8851161"	"-0.58538"	"0.4916988"	"HADHA"	"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit"
"34384_at"	"0.062459"	"9.12e-04"	"-3.8849144"	"-0.58581"	"-0.3905589"	"ABCC1"	"ATP binding cassette subfamily C member 1"
"1115_at"	"0.062459"	"9.19e-04"	"-3.8812806"	"-0.59364"	"-1.0882394"	"PF4"	"platelet factor 4"
"41535_at"	"0.062459"	"9.24e-04"	"-3.8791343"	"-0.59826"	"-0.5682535"	"CDK2AP1"	"cyclin dependent kinase 2 associated protein 1"
"1279_s_at"	"0.062459"	"9.28e-04"	"3.8772983"	"-0.60221"	"0.3339335"	"TEN1-CDK3///CDK3"	"TEN1-CDK3 readthrough (NMD candidate)///cyclin dependent kinase 3"
