gene_name	drug_name	interaction_type	source	gene_categories	UC	CD
PTGS2	ETORICOXIB	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	FENOPROFEN	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	KETOROLAC	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	ASPIRIN	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	SULINDAC	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	INDOMETHACIN	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	KETOPROFEN	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	PHENYLBUTAZONE	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	OXAPROZIN	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	TOLMETIN	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	NAPROXEN	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	TIAPROFENIC ACID	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	MECLOFENAMIC ACID	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	DIFLUNISAL	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	FLURBIPROFEN	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	NEPAFENAC	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	NABUMETONE	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	MELOXICAM	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	IBUPROFEN	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	SUPROFEN	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	TENOXICAM	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	ACETAMINOPHEN	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	MEFENAMIC ACID	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	SALSALATE	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	SALICYLIC ACID	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	CARPROFEN	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	DICLOFENAC	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	BROMFENAC	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	ETODOLAC	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	LUMIRACOXIB	n/a	TEND	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	MECLOFENAMIC ACID	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	MEFENAMIC ACID	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	PIROXICAM	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	DIFLUNISAL	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	TENOXICAM	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	NAPROXEN ETEMESIL	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	ETORICOXIB	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	SALSALATE	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	NIFLUMIC ACID	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	NAPROXEN	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	NAPROXEN	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	APRICOXIB	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	SUPROFEN	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	DICLOFENAC	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	MELOXICAM	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	BROMFENAC	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	PARECOXIB	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	NAPROXCINOD	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	LUMIRACOXIB	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	NAPROXEN	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	NAPROXEN	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	ETODOLAC	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	BALSALAZIDE	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	true
PTGS2	SULFASALAZINE	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	true
PTGS2	KETOPROFEN	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	PHENYLBUTAZONE	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	CARPROFEN	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	LICOFELONE	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	DICLOFENAC	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	DICLOFENAC	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	OXAPROZIN	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	FENOPROFEN	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	KETOPROFEN	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	KETOPROFEN	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	CIMICOXIB	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	TOLMETIN	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	DICLOFENAC	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	DICLOFENAC	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	TIAPROFENIC ACID	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	ACETAMINOPHEN	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	FLURBIPROFEN	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	KETOROLAC	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	KETOROLAC	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	DICLOFENAC	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	DICLOFENAC	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	DICLOFENAC	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	NABUMETONE	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	ETODOLAC	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	BROMFENAC	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	BROMFENAC	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	CELECOXIB	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	KETOPROFEN	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	THALIDOMIDE	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	KETOROLAC	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	SULINDAC	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	SALICYLIC ACID	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	ROFECOXIB	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	DICLOFENAC	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	IBUPROFEN	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	NEPAFENAC	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	KETOPROFEN	n/a	TdgClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	THALIDOMIDE	antagonist	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	SULFASALAZINE	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	true
PTGS2	LICOFELONE	n/a	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	FLUFENAMIC ACID	n/a	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	MELOXICAM	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	NABUMETONE	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	ROFECOXIB	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	LENALIDOMIDE	negative modulator	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	POMALIDOMIDE	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	PROSTAGLANDIN G2	n/a	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	TRISALICYLATE-CHOLINE	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	SUPROFEN	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	PIROXICAM	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	NIFLUMIC ACID	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	ACETAMINOPHEN	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	TIAPROFENIC ACID	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	SALSALATE	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	BALSALAZIDE	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	true
PTGS2	INDOMETHACIN	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	SALICYLIC ACID	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	MECLOFENAMIC ACID	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	VALDECOXIB	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	RESVERATROL	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	LUMIRACOXIB	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	KETOPROFEN	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	DICLOFENAC	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	TENOXICAM	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	NAPROXEN	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	ANTRAFENINE	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	MEFENAMIC ACID	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	LORNOXICAM	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	CARPROFEN	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	CELECOXIB	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	BROMFENAC	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	IBUPROFEN	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	KETOROLAC	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	ETORICOXIB	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	CIMICOXIB	n/a	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	TOLMETIN	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	DIHOMO-GAMMA-LINOLENIC ACID	n/a	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	NEPAFENAC	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	FENOPROFEN	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	FLURBIPROFEN	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	ANTIPYRINE	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	PHENYLBUTAZONE	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	OXAPROZIN	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	NIMESULIDE	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	MAGNESIUM SALICYLATE	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	DIFLUNISAL	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	ETODOLAC	inhibitor	DrugBank	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	CELECOXIB	inhibitor	MyCancerGenomeClinicalTrial	drug resistance,druggable genome,tumor suppressor	false	false
PLAU	6-FLUORO-2-[2-HYDROXY-3-(2-METHYL-CYCLOHEXYLOXY)-PHENYL]-1H-INDOLE-5-CARBOXAMIDINE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	6-[N-(4-ETHYL-1,2,3,4-TETRAHYDRO-6-ISOQUINOLINYL)CARBAMYL]-2-NAPHTHALENECARBOXAMIDINE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	8-(PYRIMIDIN-2-YLAMINO)NAPHTHALENE-2-CARBOXIMIDAMIDE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	[2,4,6-TRIISOPROPYL-PHENYLSULFONYL-L-[3-AMIDINO-PHENYLALANINE]]-PIPERAZINE-N'-BETA-ALANINE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	1-[4-(2-OXO-2-PHENYLETHYL)PHENYL]GUANIDINE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	N-(1-ADAMANTYL)-N'-(4-GUANIDINOBENZYL)UREA	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	AMILORIDE	inhibitor	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	6-[(Z)-AMINO(IMINO)METHYL]-N-[3-(CYCLOPENTYLOXY)PHENYL]-2-NAPHTHAMIDE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	6-CHLORO-2-(2-HYDROXY-BIPHENYL-3-YL)-1H-INDOLE-5-CARBOXAMIDINE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	TRANS-6-(2-PHENYLCYCLOPROPYL)-NAPHTHALENE-2-CARBOXAMIDINE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	BENZAMIDINE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	2-(2-HYDROXY-5-METHOXY-PHENYL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	7-METHOXY-8-[1-(METHYLSULFONYL)-1H-PYRAZOL-4-YL]NAPHTHALENE-2-CARBOXIMIDAMIDE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	THIENO[2,3-B]PYRIDINE-2-CARBOXAMIDINE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	2-(2-HYDROXY-BIPHENYL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	6-FLUORO-2-(2-HYDROXY-3-ISOBUTOXY-PHENYL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	4-IODOBENZO[B]THIOPHENE-2-CARBOXAMIDINE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	6-[N-(1-ISOPROPYL-1,2,3,4-TETRAHYDRO-7-ISOQUINOLINYL)CARBAMYL]-2-NAPHTHALENECARBOXAMIDINE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	WX-671	n/a	TdgClinicalTrial	cell surface,druggable genome,kinase,protease	false	false
PLAU	WX-UK1	n/a	TdgClinicalTrial	cell surface,druggable genome,kinase,protease	false	false
PLAU	WX-UK1	n/a	GuideToPharmacologyInteractions	cell surface,druggable genome,kinase,protease	false	false
PLAU	UPAMOSTAT	n/a	GuideToPharmacologyInteractions	cell surface,druggable genome,kinase,protease	false	false
PLAU	6-FLUORO-2-[2-HYDROXY-3-(2-METHYL-CYCLOHEXYLOXY)-PHENYL]-1H-INDOLE-5-CARBOXAMIDINE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	6-[N-(4-ETHYL-1,2,3,4-TETRAHYDRO-6-ISOQUINOLINYL)CARBAMYL]-2-NAPHTHALENECARBOXAMIDINE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	8-(PYRIMIDIN-2-YLAMINO)NAPHTHALENE-2-CARBOXIMIDAMIDE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	[2,4,6-TRIISOPROPYL-PHENYLSULFONYL-L-[3-AMIDINO-PHENYLALANINE]]-PIPERAZINE-N'-BETA-ALANINE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	1-[4-(2-OXO-2-PHENYLETHYL)PHENYL]GUANIDINE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	N-(1-ADAMANTYL)-N'-(4-GUANIDINOBENZYL)UREA	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	AMILORIDE	inhibitor	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	6-[(Z)-AMINO(IMINO)METHYL]-N-[3-(CYCLOPENTYLOXY)PHENYL]-2-NAPHTHAMIDE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	6-CHLORO-2-(2-HYDROXY-BIPHENYL-3-YL)-1H-INDOLE-5-CARBOXAMIDINE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	TRANS-6-(2-PHENYLCYCLOPROPYL)-NAPHTHALENE-2-CARBOXAMIDINE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	BENZAMIDINE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	2-(2-HYDROXY-5-METHOXY-PHENYL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	7-METHOXY-8-[1-(METHYLSULFONYL)-1H-PYRAZOL-4-YL]NAPHTHALENE-2-CARBOXIMIDAMIDE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	THIENO[2,3-B]PYRIDINE-2-CARBOXAMIDINE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	2-(2-HYDROXY-BIPHENYL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	6-FLUORO-2-(2-HYDROXY-3-ISOBUTOXY-PHENYL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	4-IODOBENZO[B]THIOPHENE-2-CARBOXAMIDINE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	6-[N-(1-ISOPROPYL-1,2,3,4-TETRAHYDRO-7-ISOQUINOLINYL)CARBAMYL]-2-NAPHTHALENECARBOXAMIDINE	n/a	DrugBank	cell surface,druggable genome,kinase,protease	false	false
PLAU	WX-671	n/a	TdgClinicalTrial	cell surface,druggable genome,kinase,protease	false	false
PLAU	WX-UK1	n/a	TdgClinicalTrial	cell surface,druggable genome,kinase,protease	false	false
PLAU	WX-UK1	n/a	GuideToPharmacologyInteractions	cell surface,druggable genome,kinase,protease	false	false
PLAU	UPAMOSTAT	n/a	GuideToPharmacologyInteractions	cell surface,druggable genome,kinase,protease	false	false
SERPINE1	TROGLITAZONE	antagonist	DrugBank	druggable genome,protease inhibitor	false	false
CD47	ABT-510	n/a	TdgClinicalTrial		false	false
